"term","afraid","amused","angry","annoyed","dont_care","happy","inspired","sad"
"schoolfriend",0,7.31993,12.883166,29.01863,0,12.765752,0,38.012522
"elitist",0,0,0,99.999999,0,0,1e-06,0
"measured",0,0,100,0,0,0,0,0
"finalization",0,0,59.199056,0,0,40.800944,0,0
"penetrator",0,5.097042,22.61594,0,0,72.287019,0,0
"gush",0.000257,48.022345,50.000029,0.001248,1.1e-05,1.975826,1e-06,0.000284
"comforting",0,1.7e-05,0,2.4e-05,0,1e-06,18.475342,81.524616
"shade",0,31.691508,2.3e-05,0,24.590361,16.734397,26.461705,0.522006
"bottomless",0,2e-06,0,0,0,1e-05,99.999988,0
"leon",0,1.2e-05,0,0,0,99.999988,0,0
"algerie",45.737224,0,0,0.000127,0,0,0,54.262649
"aquatic",3.3e-05,0.000306,0.203326,8.536527,1e-06,49.796321,1.6e-05,41.46347
"mecca",0,0,0,0,0.052178,99.823242,0.009297,0.115282
"sweater",0,2.7e-05,99.999973,0,0,0,0,0
"aquatics",3.970148,0,96.020986,0.008866,0,1e-06,0,0
"skittish",0,30.637504,0,0,0,58.546577,10.81592,0
"overwhelming",0.045064,0.126629,0.00528,0.000222,6.8e-05,14.776646,84.981761,0.064331
"stock",0.059004,49.999998,0,0,0,49.940998,0,0
"mighty",0.498779,2e-06,0.000136,29.482093,0,49.370028,20.647109,0.001852
"data",0,99.999804,0,0,0,0.000196,0,0
"amigo",0,0,1.4e-05,0,8e-06,0.021813,99.977088,0.001076
"pizza",0,46.109252,1.4e-05,53.121794,1e-05,0.768822,3e-06,0.000106
"capacity",25.425119,0.90106,0.111627,4e-06,5e-06,73.267353,9.6e-05,0.294735
"premeditation",0,0,0,0,0,28.875906,0,71.124094
"cdc",100,0,0,0,0,0,0,0
"crevice",0,100,0,0,0,0,0,0
"gwyn",0,0,0,4e-06,0,0.034619,0,99.965378
"broccoli",0,7e-06,0,1e-06,99.930178,0.069571,7e-06,0.000236
"qatari",0,7.314028,24.847557,17.838408,0,0.000105,49.999902,0
"intrinsically",0,99.999999,1e-06,0,0,0,0,0
"indefensible",0,0,0,66.431141,0,0,33.56885,8e-06
"humble",0,4.4e-05,0,0,0,1.822787,98.177169,0
"represent",0.000581,0.006299,0.00029,0.000232,42.830423,41.830662,15.317508,0.014004
"swab",0,0,49.999999,40.55938,0,0,6e-06,9.440613
"upsurge",0,0,0,0.000642,0,0,0,99.999357
"sepsis",99.999992,0,0,0,0,0,8e-06,0
"jerome",0,0,99.999382,5e-06,0,0.000383,1e-06,0.000229
"abaya",0,33.71751,24.834312,0,0,41.448177,0,0
"islamism",0,99.999739,0,0.00011,0.000152,0,0,0
"matte",0.003813,88.228205,0,4.6e-05,0.008762,11.753206,3e-06,0.005965
"duncan",0.000188,28.37784,0,0,0,71.216285,0.405686,0
"madam",0,0,0.000825,99.994961,0,0.003002,0.001199,1.3e-05
"gordimer",0,0,0,1e-06,0,0,2e-06,99.999997
"blackbird",0,0,0,0,6.740356,84.080337,9.179306,0
"high-class",3.376698,0,0,1e-06,0,0,29.994071,66.62923
"heart-to-heart",0,1.500955,7e-06,86.034025,10.947169,1.517597,0.000246,0
"brunei",0,0,33.684635,25.852777,0,40.462587,1e-06,0
"livable",0,0,0,0,0,36.214491,63.785509,0
"formulate",0,0,0,0,99.99995,5e-05,0,0
"oxtail",0,5e-06,0,99.295063,0,0.491019,6e-05,0.213853
"humanly",73.253268,0,0,0,0,0,0,26.746731
"workflow",0,63.623313,0,0,0,36.376687,0,0
"metastatic",0,0,0,39.153904,0,60.846096,0,0
"curved",0,0,0,1e-06,0.72625,99.273748,0,0
"koran",0,0,87.044349,4e-06,0.001012,0,1.4e-05,12.954621
